iter,ami,vmea,ari,loss
0,0.62328,0.66142,0.55832,0.0
0,0.91166,0.93985,0.96143,0.0
0,0.70737,0.73804,0.64208,0.0
200,0.60645,0.64907,0.52478,0.4211010514199734
200,0.46239,0.61882,0.60195,6.489868047237397
200,0.62971,0.67153,0.54511,0.46379598014056683
400,0.22661,0.29761,0.12983,0.5497049295902252
400,0.45306,0.60527,0.60243,4.105241953134537
400,0.0,0.0,0.0,0.19290588922798635
600,0.25436,0.29059,0.14583,0.366071295440197
600,0.46892,0.62772,0.60261,4.0808121240139
600,0.01756,0.03562,0.00166,0.07199778441339731
800,0.43205,0.46732,0.30354,0.3338474240899086
800,0.46691,0.62486,0.60278,4.0909411036968235
800,0.45393,0.45827,0.27581,0.08620853342115879
1000,0.22553,0.27111,0.08545,0.4189236894249916
1000,0.45166,0.60323,0.60261,4.017613381147385
1000,0.09818,0.15765,0.08445,0.1267028557509184
1200,0.29749,0.34884,0.28482,0.3821956565976143
1200,0.45181,0.60308,0.6036,4.045352944135666
1200,0.18818,0.24894,0.20804,0.05816052535548806
1400,0.30819,0.33556,0.25935,0.32908975198864937
1400,0.45439,0.60718,0.60237,4.074710083007813
1400,0.35279,0.39229,0.33623,0.06143199468031526
1600,0.33293,0.40163,0.34551,0.39583800196647645
1600,0.51679,0.62607,0.64849,4.009980769157409
1600,0.38448,0.46304,0.50327,0.0836665478721261
1800,0.35746,0.43148,0.39665,0.3862680821120739
1800,0.5819,0.68476,0.71331,4.057887058258057
1800,0.4384,0.46622,0.52087,0.05405905202031135
2000,0.35325,0.41618,0.37612,0.3340229424834251
2000,0.46705,0.62274,0.61293,4.1115494322776795
2000,0.3907,0.45071,0.42661,0.06712816035375
2200,0.36813,0.44696,0.40215,0.3784500500559807
2200,0.51041,0.64411,0.63168,4.012837220430374
2200,0.45778,0.54083,0.59182,0.07640791792422533
2400,0.37719,0.4595,0.43335,0.3861936943233013
2400,0.67053,0.77308,0.80436,4.072948957681656
2400,0.50237,0.57293,0.62468,0.05806149328127504
2600,0.39667,0.46806,0.42818,0.33501737788319585
2600,0.5774,0.6779,0.71415,4.12978261590004
2600,0.41192,0.46593,0.44804,0.07358968250453472
2800,0.4115,0.50187,0.49871,0.37991320312023164
2800,0.69122,0.79475,0.82524,4.017236300706863
2800,0.49469,0.57673,0.63429,0.07728265922516585
3000,0.43304,0.5305,0.54971,0.39507337778806684
3000,0.73251,0.83956,0.84932,3.2450663590431215
3000,0.53527,0.60901,0.67298,0.05955994628369808
3200,0.48939,0.56851,0.58108,0.33783533692359924
3200,0.54639,0.65859,0.66798,2.591093691587448
3200,0.5113,0.56453,0.59138,0.07278996363282203
3400,0.43834,0.5319,0.56019,0.3604978282749653
3400,0.63402,0.73453,0.77375,2.357507040500641
3400,0.61138,0.70336,0.75105,0.07214850101619959
3600,0.50249,0.57468,0.62901,0.3814149372279644
3600,0.68737,0.79212,0.81611,2.4320092475414277
3600,0.59841,0.67084,0.74328,0.05884677557274699
3800,0.61153,0.64832,0.71509,0.3400023280084133
3800,0.67393,0.78086,0.79421,2.5147179877758026
3800,0.67314,0.70652,0.77436,0.07701323529705405
4000,0.62677,0.6803,0.75601,0.36756403252482417
4000,0.6737,0.78078,0.79342,2.34697269320488
4000,0.61159,0.70406,0.76837,0.07645581562072039
4200,0.67722,0.73299,0.80027,0.3877679891884327
4200,0.61452,0.71269,0.74872,2.461793018579483
4200,0.67062,0.72856,0.79572,0.06540484510362149
4400,0.7443,0.7724,0.83731,0.35435052797198296
4400,0.57473,0.67121,0.70874,2.570335741043091
4400,0.77613,0.80855,0.85769,0.09644147410988807
4600,0.73271,0.7817,0.85168,0.40418036431074145
4600,0.5782,0.68957,0.70183,2.3667266297340395
4600,0.7026,0.76331,0.82113,0.08693630449473858
4800,0.76952,0.81519,0.87288,0.4276536659896374
4800,0.63212,0.72994,0.74756,2.4487845861911772
4800,0.75064,0.80099,0.85133,0.09042260363698006
5000,0.79348,0.83092,0.88659,0.3763731327652931
5000,0.75244,0.82328,0.83491,2.53715607047081
5000,0.82667,0.86508,0.90899,0.11698123380541801
